Date,Price,Action,TradeShares,Shares,Balance,TotalValue,BaselineValue,Confidence
2009-11-23,38.437557220458984,Hold,0,0,100000.0,100000.0,99416.03933380604,0.9698829650878906
2009-11-24,38.6855354309082,Hold,0,0,100000.0,100000.0,100057.18904894218,0.9800801873207092
2009-11-25,38.87152099609375,Hold,0,0,100000.0,100000.0,100538.05626675996,0.9962928891181946
2009-11-26,38.437557220458984,Hold,0,0,100000.0,100000.0,99416.03933380604,0.9990092515945435
2009-11-27,37.197635650634766,Hold,0,0,100000.0,100000.0,96210.21185467453,0.9995044469833374
2009-11-30,37.879581451416016,Hold,0,0,100000.0,100000.0,97973.38836569595,0.9996021389961243
2009-12-01,37.63160705566406,Hold,0,0,100000.0,100000.0,97332.24851349115,0.999602735042572
2009-12-02,37.6935920715332,Hold,0,0,100000.0,100000.0,97492.51128494683,0.9995423555374146
2009-12-03,38.1275634765625,Hold,0,0,100000.0,100000.0,98614.54794376345,0.9994640946388245
2009-12-04,38.1275634765625,Hold,0,0,100000.0,100000.0,98614.54794376345,0.9991990923881531
2009-12-07,38.747528076171875,Hold,0,0,100000.0,100000.0,100217.47154626054,0.9988225102424622
2009-12-08,38.6855354309082,Hold,0,0,100000.0,100000.0,100057.18904894218,0.9975544810295105
2009-12-09,38.6855354309082,Hold,0,0,100000.0,100000.0,100057.18904894218,0.9970424771308899
2009-12-10,38.003578186035156,Hold,0,0,100000.0,100000.0,98293.98294912672,0.9946780204772949
2009-12-11,38.80952835083008,Hold,0,0,100000.0,100000.0,100377.7737694416,0.9902942180633545
2009-12-14,38.87152099609375,Hold,0,0,100000.0,100000.0,100538.05626675996,0.9803757667541504
2009-12-15,38.87152099609375,Hold,0,0,100000.0,100000.0,100538.05626675996,0.9721339344978333
2009-12-16,38.313560485839844,Hold,0,0,100000.0,100000.0,99095.44475037527,0.9806616306304932
2009-12-17,38.56154251098633,Hold,0,0,100000.0,100000.0,99736.60432844276,0.9867846369743347
2009-12-18,38.375553131103516,Hold,0,0,100000.0,100000.0,99255.72724769363,0.9938785433769226
2009-12-21,38.56154251098633,Hold,0,0,100000.0,100000.0,99736.60432844276,0.9930216670036316
2009-12-22,38.99551773071289,Hold,0,0,100000.0,100000.0,100858.65085019074,0.947517991065979
2009-12-23,39.30550003051758,Hold,0,0,100000.0,100000.0,101660.11265143928,0.8963936567306519
2009-12-24,39.429481506347656,Hold,0,0,100000.0,100000.0,101980.66778314466,0.9190776348114014
2009-12-25,39.30550003051758,Hold,0,0,100000.0,100000.0,101660.11265143928,0.9447075128555298
2009-12-28,39.49147415161133,Hold,0,0,100000.0,100000.0,102140.95028046303,0.93194580078125
2009-12-29,39.243499755859375,Hold,0,0,100000.0,100000.0,101499.81042825822,0.9521954655647278
2009-12-30,39.61547088623047,Hold,0,0,100000.0,100000.0,102461.5448638938,0.9671382308006287
2009-12-31,39.98744201660156,Hold,0,0,100000.0,100000.0,103423.27929952936,0.9723486304283142
2010-01-04,40.23543167114258,Hold,0,0,100000.0,100000.0,104064.45860345954,0.9529945850372314
2010-01-05,39.98744201660156,Hold,0,0,100000.0,100000.0,103423.27929952936,0.9344425201416016
2010-01-06,40.23543167114258,Hold,0,0,100000.0,100000.0,104064.45860345954,0.9138566255569458
2010-01-07,39.801456451416016,Hold,0,0,100000.0,100000.0,102942.41208171158,0.7467087507247925
2010-01-08,39.67746353149414,Hold,0,0,100000.0,100000.0,102621.82736121216,0.5019420981407166
2010-01-11,39.98744201660156,Hold,0,0,100000.0,100000.0,103423.27929952936,0.7090349197387695
2010-01-12,39.429481506347656,Hold,0,0,100000.0,100000.0,101980.66778314466,0.848090410232544
2010-01-13,38.93351745605469,Hold,0,0,100000.0,100000.0,100698.34862700968,0.9361132383346558
2010-01-14,39.18150329589844,Hold,0,0,100000.0,100000.0,101339.51806800852,0.9525507688522339
2010-01-15,39.36749267578125,Hold,0,0,100000.0,100000.0,101820.39514875764,0.9724934697151184
2010-01-18,38.99551773071289,Hold,0,0,100000.0,100000.0,100858.65085019074,0.9817696213722229
2010-01-19,38.747528076171875,Hold,0,0,100000.0,100000.0,100217.47154626054,0.9854182004928589
2010-01-20,39.05751037597656,Hold,0,0,100000.0,100000.0,101018.9333475091,0.9858497977256775
2010-01-21,38.80952835083008,Hold,0,0,100000.0,100000.0,100377.7737694416,0.9863878488540649
2010-01-22,37.879581451416016,Hold,0,0,100000.0,100000.0,97973.38836569595,0.9869116544723511
2010-01-25,37.44561004638672,Hold,0,0,100000.0,100000.0,96851.35170687933,0.9850983619689941
2010-01-26,37.25962448120117,Hold,0,0,100000.0,100000.0,96370.48448906155,0.9828934073448181
2010-01-27,36.94964599609375,Hold,0,0,100000.0,100000.0,95569.03255074433,0.9796477556228638
2010-01-28,37.197635650634766,Hold,0,0,100000.0,100000.0,96210.21185467453,0.981045126914978
2010-01-29,38.1275634765625,Hold,0,0,100000.0,100000.0,98614.54794376345,0.9746431112289429
2010-02-01,37.07363510131836,Hold,0,0,100000.0,100000.0,95889.60740831241,0.9478782415390015
2010-02-02,36.577667236328125,Hold,0,0,100000.0,100000.0,94607.27838924609,0.9075546860694885
2010-02-03,37.07363510131836,Hold,0,0,100000.0,100000.0,95889.60740831241,0.8819862008094788
2010-02-04,36.63966369628906,Hold,0,0,100000.0,100000.0,94767.57074949579,0.8869417309761047
2010-02-05,35.461734771728516,Hold,0,0,100000.0,100000.0,91722.02576768264,0.9264229536056519
2010-02-08,35.585731506347656,Hold,0,0,100000.0,100000.0,92042.62035111341,0.963744580745697
2010-02-09,36.32967758178711,Hold,0,0,100000.0,100000.0,93966.09908531589,0.9625135660171509
2010-02-10,36.205692291259766,Hold,0,0,100000.0,100000.0,93645.53409067917,0.9356060028076172
2010-02-22,36.577667236328125,Hold,0,0,100000.0,100000.0,94607.27838924609,0.9368306994438171
2010-02-23,37.07363510131836,Hold,0,0,100000.0,100000.0,95889.60740831241,0.8671297430992126
2010-02-24,36.2676887512207,Hold,0,0,100000.0,100000.0,93805.82645092887,0.8517072796821594
2010-02-25,36.081703186035156,Hold,0,0,100000.0,100000.0,93324.95923311109,0.8628268241882324
2010-02-26,36.453678131103516,Hold,0,0,100000.0,100000.0,94286.70353167801,0.7689223289489746
2010-03-01,36.94964599609375,Buy,1351,1351,50009.89372454681,99707.97401531677,95569.03255074433,0.5377911925315857
2010-03-02,37.13564682006836,Hold,0,1351,50009.89372454681,99958.1491830306,96049.93922028752,0.715728223323822
2010-03-03,37.197635650634766,Hold,0,1351,50009.89372454681,100041.52551304865,96210.21185467453,0.6000498533248901
2010-03-04,36.701656341552734,Hold,0,1351,50009.89372454681,99374.4225175849,94927.85324681415,0.5973460078239441
2010-03-05,37.44561004638672,Buy,666,2017,25035.579677438735,100229.1646460745,96851.35170687933,0.5869965553283691
2010-03-08,37.94157791137695,Buy,329,2346,12535.012584331416,101152.08094704484,98133.68072594565,0.7715747952461243
2010-03-09,38.003578186035156,Buy,164,2510,6293.544325599574,101260.42933053007,98293.98294912672,0.6294635534286499
2010-03-10,38.06557846069336,Buy,82,2592,3167.7189289795865,101397.101340384,98454.28517230778,0.6570076942443848
2010-03-11,38.06557846069336,Buy,41,2633,1604.8062306695927,101387.97131139021,98454.28517230778,0.5512927770614624
2010-03-12,37.6935920715332,Hold,0,2633,1604.8062306695927,100412.86517145128,97492.51128494683,0.6024389266967773
2010-03-15,37.07363510131836,Buy,21,2654,825.1504650115002,98783.18710696229,95889.60740831241,0.5032155513763428
2010-03-16,37.01164245605469,Buy,11,2665,417.44224049939993,98617.0049657668,95729.32491099405,0.5756044983863831
2010-03-17,37.50760269165039,Hold,0,2665,417.44224049939993,99932.89032055606,97011.63420419769,0.5131109952926636
2010-03-18,37.44561004638672,Hold,0,2665,417.44224049939993,99768.41097694673,96851.35170687933,0.6662495732307434
2010-03-19,37.197635650634766,Hold,0,2665,417.44224049939993,99110.48348132648,96210.21185467453,0.827001690864563
2010-03-22,36.577667236328125,Hold,0,2665,417.44224049939993,97465.57871222105,94607.27838924609,0.8901852965354919
2010-03-23,36.94964599609375,Hold,0,2665,417.44224049939993,98452.51550097455,95569.03255074433,0.955350935459137
2010-03-24,37.56959533691406,Hold,0,2665,417.44224049939993,100097.3696641654,97171.91670151605,0.9595829844474792
2010-03-25,38.1275634765625,Hold,0,2665,417.44224049939993,101577.77484729566,98614.54794376345,0.954477846622467
2010-03-26,38.437557220458984,Hold,0,2665,417.44224049939993,102400.25253480568,99416.03933380604,0.9503528475761414
2010-03-29,38.56154251098633,Hold,0,2665,417.44224049939993,102729.21122202434,99736.60432844276,0.9453906416893005
2010-03-30,38.56154251098633,Hold,0,2665,417.44224049939993,102729.21122202434,99736.60432844276,0.93625408411026
2010-03-31,38.1275634765625,Hold,0,2665,417.44224049939993,101577.77484729566,98614.54794376345,0.9278939962387085
2010-04-01,38.499542236328125,Hold,0,2665,417.44224049939993,102564.71163604916,99576.30210526171,0.9282011985778809
2010-04-02,38.6855354309082,Hold,0,2665,417.44224049939993,103058.19015160884,100057.18904894218,0.9216774106025696
